Source,Destination,Hour,DriveTime
Ashdod,Ashkelon,0.0,1107
Ashdod,Ashkelon,0.25,1114
Ashdod,Ashkelon,0.5,1096
Ashdod,Ashkelon,0.75,1084
Ashdod,Ashkelon,1.0,1076
Ashdod,Ashkelon,1.25,1080
Ashdod,Ashkelon,1.5,1066
Ashdod,Ashkelon,1.75,1058
Ashdod,Ashkelon,2.0,1065
Ashdod,Ashkelon,2.25,1084
Ashdod,Ashkelon,2.5,1103
Ashdod,Ashkelon,2.75,1080
Ashdod,Ashkelon,3.0,1087
Ashdod,Ashkelon,3.25,1082
Ashdod,Ashkelon,3.5,1091
Ashdod,Ashkelon,3.75,1090
Ashdod,Ashkelon,4.0,1092
Ashdod,Ashkelon,4.25,1087
Ashdod,Ashkelon,4.5,1089
Ashdod,Ashkelon,4.75,1088
Ashdod,Ashkelon,5.0,1095
Ashdod,Ashkelon,5.25,1113
Ashdod,Ashkelon,5.5,1158
Ashdod,Ashkelon,5.75,1209
Ashdod,Ashkelon,6.0,1264
Ashdod,Ashkelon,6.25,1311
Ashdod,Ashkelon,6.5,1475
Ashdod,Ashkelon,6.75,1597
Ashdod,Ashkelon,7.0,1747
Ashdod,Ashkelon,7.25,1758
Ashdod,Ashkelon,7.5,1741
Ashdod,Ashkelon,7.75,1691
Ashdod,Ashkelon,8.0,1515
Ashdod,Ashkelon,8.25,1428
Ashdod,Ashkelon,8.5,1328
Ashdod,Ashkelon,8.75,1291
Ashdod,Ashkelon,9.0,1272
Ashdod,Ashkelon,9.25,1266
Ashdod,Ashkelon,9.5,1258
Ashdod,Ashkelon,9.75,1260
Ashdod,Ashkelon,10.0,1263
Ashdod,Ashkelon,10.25,1257
Ashdod,Ashkelon,10.5,1267
Ashdod,Ashkelon,10.75,1283
Ashdod,Ashkelon,11.0,1268
Ashdod,Ashkelon,11.25,1266
Ashdod,Ashkelon,11.5,1277
Ashdod,Ashkelon,11.75,1289
Ashdod,Ashkelon,12.0,1298
Ashdod,Ashkelon,12.25,1310
Ashdod,Ashkelon,12.5,1323
Ashdod,Ashkelon,12.75,1350
Ashdod,Ashkelon,13.0,1357
Ashdod,Ashkelon,13.25,1368
Ashdod,Ashkelon,13.5,1385
Ashdod,Ashkelon,13.75,1430
Ashdod,Ashkelon,14.0,1469
Ashdod,Ashkelon,14.25,1526
Ashdod,Ashkelon,14.5,1618
Ashdod,Ashkelon,14.75,1733
Ashdod,Ashkelon,15.0,1856
Ashdod,Ashkelon,15.25,2029
Ashdod,Ashkelon,15.5,1978
Ashdod,Ashkelon,15.75,1854
Ashdod,Ashkelon,16.0,1968
Ashdod,Ashkelon,16.25,2008
Ashdod,Ashkelon,16.5,2018
Ashdod,Ashkelon,16.75,1984
Ashdod,Ashkelon,17.0,1935
Ashdod,Ashkelon,17.25,1857
Ashdod,Ashkelon,17.5,1776
Ashdod,Ashkelon,17.75,1668
Ashdod,Ashkelon,18.0,1562
Ashdod,Ashkelon,18.25,1477
Ashdod,Ashkelon,18.5,1429
Ashdod,Ashkelon,18.75,1413
Ashdod,Ashkelon,19.0,1387
Ashdod,Ashkelon,19.25,1356
Ashdod,Ashkelon,19.5,1332
Ashdod,Ashkelon,19.75,1313
Ashdod,Ashkelon,20.0,1285
Ashdod,Ashkelon,20.25,1274
Ashdod,Ashkelon,20.5,1252
